과밀지수(밀집도),관리년월,대분류명,상권명칭,상권번호,중분류명
0.3569,2017-01,소매,전남 완도군 완도읍_4,26,가전제품소매
1.1144,2017-01,소매,영통역_4,1484,가전제품소매
1.7757,2017-01,소매,충남 아산시 배방읍_1,1328,가전제품소매
0.4055,2017-01,소매,제주 제주시 연동_4,9,가전제품소매
3.0442,2017-01,소매,금촌역_1,2391,가전제품소매
0.5809,2017-01,소매,서울 강남구 한티역,1906,가전제품소매
1.0601,2017-01,소매,송정리역,314,가전제품소매
2.7135,2017-01,소매,센텀시티역_1,395,가전제품소매
2.0619,2017-01,소매,경성대부경대역_1,297,가전제품소매
0.9606,2017-01,소매,경기 고양시 대화역,2352,가전제품소매
1.0007,2017-01,소매,수원지방법원안산지원앞_6,1563,가전제품소매
0.7412,2017-01,소매,학동사거리_2,2022,가전제품소매
0.4183,2017-01,소매,전북 익산시 영등2동_4,1035,가전제품소매
0.2167,2017-01,소매,서울 강남구 선릉역_2,1943,가전제품소매
0.5643,2017-01,소매,유통상가사거리,1588,가전제품소매
1.2504,2017-01,소매,부산 사상구 사상역_1,392,가전제품소매
0.4730,2017-01,소매,전남 순천시 해룡면_1,187,가전제품소매
1.1135,2017-01,소매,부산 동래구 사직2동_1,463,가전제품소매
1.6693,2017-01,소매,전북 익산시 영등2동_6,1043,가전제품소매
0.3907,2017-01,소매,충남 공주시 중동 4거리,1256,가전제품소매
0.7581,2017-01,소매,광주 광산구 첨단2동_2,513,가전제품소매
1.6719,2017-01,소매,국회의사당역_1,2057,가전제품소매
0.6757,2017-01,소매,용문역_2,1213,가전제품소매
2.2760,2017-01,소매,충남 천안시 쌍용1동_1,1352,가전제품소매
1.8688,2017-01,소매,별망중학교 앞_2,1549,가전제품소매
0.9508,2017-01,소매,부산 부산진구 양정역_1,403,가전제품소매
1.0284,2017-01,소매,평내동 주민센터,2317,가전제품소매
0.6139,2017-01,소매,안동시청_2,1278,가전제품소매
0.3913,2017-01,소매,안성시장,1435,가전제품소매
1.6106,2017-01,소매,경북 안동시 옥동_1,1273,가전제품소매
0.8279,2017-01,소매,경남 김해시 진영읍_7,596,가전제품소매
0.9725,2017-01,소매,이천종합터미널_3,1521,가전제품소매
0.7310,2017-01,소매,경북 구미시 진미동_2,1114,가전제품소매
1.8637,2017-01,소매,전남 목포시 용당1동_2,110,가전제품소매
0.6148,2017-01,소매,전남 목포시 하당동_5,117,가전제품소매
0.3794,2017-01,소매,전남 순천시 중앙동_2,193,가전제품소매
0.5070,2017-01,소매,경기 군포시 산본역,1607,가전제품소매
0.9770,2017-01,소매,남부시장사거리,2567,가전제품소매
0.9563,2017-01,소매,경북 구미시 인동동_2,1125,가전제품소매
1.2453,2017-01,소매,구갈공원,1530,가전제품소매
0.2724,2017-01,소매,제주 서귀포시 중앙동_1,3,가전제품소매
0.4313,2017-01,소매,대구 북구 태전1동_3,1006,가전제품소매
0.2821,2017-01,소매,구리 돌다리사거리_3,2273,가전제품소매
1.2092,2017-01,소매,정읍역,716,가전제품소매
3.1901,2017-01,소매,서울 종로구 안국역_1,2246,가전제품소매
0.3122,2017-01,소매,영월경찰서,2585,가전제품소매
0.9098,2017-01,소매,충남 천안시 신방동_4,1344,가전제품소매
1.9764,2017-01,소매,충북 충주시 연수동_2,1412,가전제품소매
1.7884,2017-01,소매,수지구청_2,1573,가전제품소매
0.9337,2017-01,소매,병점역,1466,가전제품소매
2.1516,2017-01,소매,일산역_1,2353,가전제품소매
0.3970,2017-01,소매,서울 강남구 강남역,1893,가전제품소매
0.6827,2017-01,소매,은마아파트입구사거리_2,1897,가전제품소매
1.1207,2017-01,소매,여주군청_1,1534,가전제품소매
0.5061,2017-01,소매,단양시외버스터미널,1406,가전제품소매
0.3624,2017-01,소매,서울 강남구 압구정역,2053,가전제품소매
0.6897,2017-01,소매,부산 연제구 연산동역_4,439,가전제품소매
0.5565,2017-01,소매,화천공용버스터미널,2423,가전제품소매
0.4951,2017-01,소매,포스코사거리_1,1971,가전제품소매
0.2353,2017-01,소매,완도버스터미널,29,가전제품소매
0.4660,2017-01,소매,함양군청,649,가전제품소매
1.2688,2017-01,소매,서울 강서구 발산역,2183,가전제품소매
0.8329,2017-01,소매,서울 동작구 노량진역,1978,가전제품소매
1.5842,2017-01,소매,춘천 부영아파트,2469,가전제품소매
0.7440,2017-01,소매,부산 부산진구 서면역_4,378,가전제품소매
0.4431,2017-01,소매,쥬네브썬월드,1531,가전제품소매
1.1414,2017-01,소매,울산 중구 병영1동_1,713,가전제품소매
0.4569,2017-01,소매,부산 동구 범일동역_1,316,가전제품소매
0.5500,2017-01,소매,정자역,1608,가전제품소매
1.4403,2017-01,소매,전남 여수시 여서동_2,59,가전제품소매
0.6947,2017-01,소매,부안시외버스터미널,740,가전제품소매
0.6860,2017-01,소매,경남 창원시 명곡동_1,581,가전제품소매
0.7447,2017-01,소매,전북 정읍시 수성동_2,710,가전제품소매
0.9254,2017-01,소매,대구 북구 읍내동_1,1010,가전제품소매
1.1348,2017-01,소매,경남 김해시 삼안동_2,569,가전제품소매
0.6675,2017-01,소매,보은시외버스터미널,1264,가전제품소매
0.6699,2017-01,소매,통영 강구안,141,가전제품소매
1.0331,2017-01,소매,괴산시외버스공용터미널,1354,가전제품소매
1.0327,2017-01,소매,전북 전주시 중화산1동_1,768,가전제품소매
1.0904,2017-01,소매,용인사거리_1,1467,가전제품소매
0.8387,2017-01,소매,광안리,353,가전제품소매
0.4743,2017-01,소매,세종시 세종특별자치 조치원읍_2,1281,가전제품소매
0.6414,2017-01,소매,장호원버스터미널,1446,가전제품소매
3.4064,2017-01,소매,경남 진주시 가호동_1,325,가전제품소매
1.4149,2017-01,소매,성균관대,1539,가전제품소매
4.4084,2017-01,소매,경남 진주시 가호동_1,325,가전제품소매
1.1308,2017-01,소매,서울 관악구 서울대입구역_2,1812,가전제품소매
0.9325,2017-01,소매,고령시외버스터미널,738,가전제품소매
0.6394,2017-01,소매,부산 북구 화명역_2,556,가전제품소매
