시도,시군구,업종대분류,분류,업종중분류,업종소분류,건수
서울특별시,영등포구,학문/교육,유아교육,유아교육,블럭놀이방,1
서울특별시,영등포구,학문/교육,유아교육,유아교육,실내놀이터-유아,2
서울특별시,영등포구,학문/교육,유아교육,유아교육,어린이집,184
서울특별시,영등포구,학문/교육,유아교육,유아교육,유아교육기관기타,4
서울특별시,영등포구,학문/교육,유아교육,유아교육,유치원,29
서울특별시,용산구,학문/교육,유아교육,유아교육,놀이방,2
서울특별시,용산구,학문/교육,유아교육,유아교육,실내놀이터-유아,2
서울특별시,용산구,학문/교육,유아교육,유아교육,어린이집,107
서울특별시,용산구,학문/교육,유아교육,유아교육,유아교육기관기타,6
서울특별시,용산구,학문/교육,유아교육,유아교육,유치원,19
서울특별시,은평구,학문/교육,유아교육,유아교육,놀이방,5
서울특별시,은평구,학문/교육,유아교육,유아교육,블럭놀이방,1
서울특별시,은평구,학문/교육,유아교육,유아교육,어린이집,270
서울특별시,은평구,학문/교육,유아교육,유아교육,유아교육기관기타,3
서울특별시,은평구,학문/교육,유아교육,유아교육,유치원,28
서울특별시,종로구,학문/교육,유아교육,유아교육,놀이방,1
서울특별시,종로구,학문/교육,유아교육,유아교육,어린이집,75
서울특별시,종로구,학문/교육,유아교육,유아교육,유아교육기관기타,3
서울특별시,종로구,학문/교육,유아교육,유아교육,유치원,16
서울특별시,중구,학문/교육,유아교육,유아교육,어린이집,56
서울특별시,중구,학문/교육,유아교육,유아교육,유아교육기관기타,1
서울특별시,중구,학문/교육,유아교육,유아교육,유치원,9
서울특별시,중랑구,학문/교육,유아교육,유아교육,놀이방,11
서울특별시,중랑구,학문/교육,유아교육,유아교육,블럭놀이방,1
서울특별시,중랑구,학문/교육,유아교육,유아교육,어린이집,226
서울특별시,중랑구,학문/교육,유아교육,유아교육,유아교육기관기타,4
서울특별시,중랑구,학문/교육,유아교육,유아교육,유치원,24
서울특별시,강남구,학문/교육,학원,음악미술무용,/바이올린/기타,244
서울특별시,강남구,학문/교육,학원,음악미술무용,국악,5
서울특별시,강동구,학문/교육,학원,음악미술무용,/바이올린/기타,206
서울특별시,강동구,학문/교육,학원,음악미술무용,국악,6
서울특별시,강북구,학문/교육,학원,음악미술무용,/바이올린/기타,39
서울특별시,강서구,학문/교육,학원,음악미술무용,/바이올린/기타,135
서울특별시,강서구,학문/교육,학원,음악미술무용,국악,1
서울특별시,관악구,학문/교육,학원,음악미술무용,/바이올린/기타,165
서울특별시,관악구,학문/교육,학원,음악미술무용,국악,3
서울특별시,광진구,학문/교육,학원,음악미술무용,/바이올린/기타,207
서울특별시,광진구,학문/교육,학원,음악미술무용,국악,4
서울특별시,구로구,학문/교육,학원,음악미술무용,/바이올린/기타,124
서울특별시,구로구,학문/교육,학원,음악미술무용,국악,4
서울특별시,금천구,학문/교육,학원,음악미술무용,/바이올린/기타,86
서울특별시,금천구,학문/교육,학원,음악미술무용,국악,1
서울특별시,노원구,학문/교육,학원,음악미술무용,/바이올린/기타,92
서울특별시,노원구,학문/교육,학원,음악미술무용,국악,2
서울특별시,도봉구,학문/교육,학원,음악미술무용,/바이올린/기타,51
서울특별시,동대문구,학문/교육,학원,음악미술무용,/바이올린/기타,94
서울특별시,동대문구,학문/교육,학원,음악미술무용,국악,2
서울특별시,동작구,학문/교육,학원,음악미술무용,/바이올린/기타,86
서울특별시,동작구,학문/교육,학원,음악미술무용,국악,4
서울특별시,마포구,학문/교육,학원,음악미술무용,/바이올린/기타,85
서울특별시,서대문구,학문/교육,학원,음악미술무용,/바이올린/기타,52
